                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7768,                 6.7093,                 2.3018,                0.00087,                0.23361,                0.00608,                0.00092,                 2.6422,                 6.3132,                 2.2389,             0.00030167,             0.00030167,             0.00030167
                      2,                 2.5522,                 4.8342,                 2.1132,                0.18898,                0.03702,                0.01203,                0.00462,                 2.6468,                 4.9264,                   2.25,             0.00058756,             0.00058756,             0.00058756
                      3,                 2.5141,                  4.096,                 2.1055,                0.76435,                0.05239,                0.04838,                0.01473,                 2.5023,                 5.9447,                 2.2506,             0.00085632,             0.00085632,             0.00085632
                      4,                 2.4594,                 3.8082,                 2.0583,                  0.115,                0.12391,                0.07217,                0.02247,                 2.4517,                 3.8874,                 2.2727,             0.00083186,             0.00083186,             0.00083186
                      5,                  2.374,                 3.6038,                 2.0336,                0.23811,                0.13186,                0.06576,                0.02402,                 2.4507,                  3.581,                 2.1546,             0.00080615,             0.00080615,             0.00080615
                      6,                 2.3322,                 3.3493,                 2.0103,                0.17317,                0.15264,                0.11632,                0.03805,                 2.3905,                 3.5257,                 2.1577,             0.00078044,             0.00078044,             0.00078044
                      7,                 2.2964,                 3.2842,                 1.9853,                 0.2771,                0.18169,                0.11773,                0.03843,                 2.3257,                 3.2666,                 2.0992,             0.00075473,             0.00075473,             0.00075473
                      8,                 2.2506,                 3.1015,                 1.9293,                 0.2662,                0.18218,                0.11342,                0.03552,                 2.4416,                 3.2123,                 2.1538,             0.00072902,             0.00072902,             0.00072902
                      9,                 2.1942,                 3.0491,                 1.9085,                0.27734,                 0.1838,                0.12086,                0.04429,                 2.3184,                 3.2696,                 2.1905,             0.00070331,             0.00070331,             0.00070331
                     10,                 2.1589,                  2.883,                 1.8706,                0.36283,                0.13483,                 0.1463,                0.05201,                  2.327,                 3.2297,                 2.1742,             0.00067759,             0.00067759,             0.00067759
                     11,                 2.1253,                 2.7717,                 1.8473,                 0.3001,                0.20357,                0.16734,                0.06281,                  2.286,                 3.0441,                 2.0901,             0.00065188,             0.00065188,             0.00065188
                     12,                 2.0803,                  2.618,                 1.8191,                0.15536,                0.23911,                0.17876,                0.07158,                 2.2063,                 2.8688,                 2.0497,             0.00062617,             0.00062617,             0.00062617
                     13,                 2.0454,                 2.5664,                   1.82,                 0.3677,                0.23917,                0.19888,                0.07633,                 2.2756,                 2.8568,                 2.0268,             0.00060046,             0.00060046,             0.00060046
